,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
0,2960000000.0,Cempaka Putih,4,3,92,SHM - Sertifikat Hak Milik,CENTRAL
1,440000000.0,Salemba,2,2,40,SHM - Sertifikat Hak Milik,CENTRAL
2,2900000000.0,Cempaka Putih,4,3,92,SHM - Sertifikat Hak Milik,CENTRAL
3,1061321000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
4,1061000000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
5,400000000.0,Kemayoran,2,2,36,SHM - Sertifikat Hak Milik,CENTRAL
7,486200000.0,Taman Sari,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL
8,534879000.0,Kemayoran,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL
16,481000000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
18,481270000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
19,416005000.0,Kemayoran,2,2,37,SHM - Sertifikat Hak Milik,CENTRAL
20,4200000000.0,Glodok,4,2,220,SHM - Sertifikat Hak Milik,CENTRAL
21,5500000000.0,Kemayoran,3,3,320,SHM - Sertifikat Hak Milik,CENTRAL
24,1061312000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
26,850000000.0,Senen,3,3,53,SHM - Sertifikat Hak Milik,CENTRAL
28,5250000000.0,Cempaka Putih,5,4,233,SHM - Sertifikat Hak Milik,CENTRAL
29,4500000000.0,Bendungan Hilir,4,3,160,SHM - Sertifikat Hak Milik,CENTRAL
30,470000000.0,Kemayoran,2,2,40,SHM - Sertifikat Hak Milik,CENTRAL
34,4500000000.0,Tanah Abang,2,2,100,SHM - Sertifikat Hak Milik,CENTRAL
35,447000000.0,Cempaka Putih,2,2,39,SHM - Sertifikat Hak Milik,CENTRAL
36,511600000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
37,3150000000.0,Menteng,4,3,140,SHM - Sertifikat Hak Milik,CENTRAL
38,1542231231.0,Menteng,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
39,2700000000.0,Gunung Sahari,4,3,300,SHM - Sertifikat Hak Milik,CENTRAL
40,1850000000.0,Kemayoran,3,3,150,SHM - Sertifikat Hak Milik,CENTRAL
41,3400000000.0,Cideng,3,3,280,SHM - Sertifikat Hak Milik,CENTRAL
42,409000000.0,Kemayoran,2,1,39,SHM - Sertifikat Hak Milik,CENTRAL
43,798700000.0,Cempaka Putih,3,3,61,SHM - Sertifikat Hak Milik,CENTRAL
44,505000000.0,Kemayoran,2,2,40,SHM - Sertifikat Hak Milik,CENTRAL
47,506600000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
48,508000000.0,Cempaka Putih,2,2,47,SHM - Sertifikat Hak Milik,CENTRAL
49,506000000.0,Cempaka Putih,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
50,2962000000.0,Cempaka Putih,4,4,92,SHM - Sertifikat Hak Milik,CENTRAL
