Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
2900000000.0,Cempaka Putih,4,3,92,SHM - Sertifikat Hak Milik,CENTRAL
1061321000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
1061000000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
400000000.0,Kemayoran,2,2,36,SHM - Sertifikat Hak Milik,CENTRAL
486200000.0,Taman Sari,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL
481000000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
481270000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
4200000000.0,Glodok,4,2,220,SHM - Sertifikat Hak Milik,CENTRAL
1061312000.0,Cempaka Putih,2,2,58,SHM - Sertifikat Hak Milik,CENTRAL
4500000000.0,Bendungan Hilir,4,3,160,SHM - Sertifikat Hak Milik,CENTRAL
470000000.0,Kemayoran,2,2,40,SHM - Sertifikat Hak Milik,CENTRAL
511600000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
3150000000.0,Menteng,4,3,140,SHM - Sertifikat Hak Milik,CENTRAL
798700000.0,Cempaka Putih,3,3,61,SHM - Sertifikat Hak Milik,CENTRAL
505000000.0,Kemayoran,2,2,40,SHM - Sertifikat Hak Milik,CENTRAL
506600000.0,Kemayoran,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
508000000.0,Cempaka Putih,2,2,47,SHM - Sertifikat Hak Milik,CENTRAL
506000000.0,Cempaka Putih,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
1475000000.0,Cempaka Putih,4,4,88,SHM - Sertifikat Hak Milik,CENTRAL
1068312000.0,Cempaka Putih,3,3,88,SHM - Sertifikat Hak Milik,CENTRAL
506600000.0,Cempaka Putih,2,2,43,SHM - Sertifikat Hak Milik,CENTRAL
1050000000.0,Cempaka Putih,2,2,58,SHGB - Hak Guna Bangunan,CENTRAL
1900000000.0,Cempaka Putih,2,2,110,SHM - Sertifikat Hak Milik,CENTRAL
3300000000.0,Cempaka Putih,4,3,150,SHM - Sertifikat Hak Milik,CENTRAL
486200000.0,Cempaka Putih,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL
1068312000.0,Cempaka Putih,2,3,58,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Senen,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
900000000.0,Salemba,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
1186672000.0,Cempaka Putih,2,3,62,SHM - Sertifikat Hak Milik,CENTRAL
1700000000.0,Gunung Sahari,3,2,124,SHM - Sertifikat Hak Milik,CENTRAL
1068000000.0,Cempaka Putih,3,2,93,SHM - Sertifikat Hak Milik,CENTRAL
4250000000.0,Johar Baru,4,3,197,SHM - Sertifikat Hak Milik,CENTRAL
1272368000.0,Cempaka Putih,3,3,90,SHM - Sertifikat Hak Milik,CENTRAL
887800000.0,Kemayoran,2,2,69,SHM - Sertifikat Hak Milik,CENTRAL
4250000000.0,Johar Baru,3,3,197,SHM - Sertifikat Hak Milik,CENTRAL
1200000000.0,Cempaka Putih,3,2,80,SHGB - Hak Guna Bangunan,CENTRAL
3000000000.0,Cideng,4,3,180,SHM - Sertifikat Hak Milik,CENTRAL
850000000.0,Kemayoran,2,2,60,SHM - Sertifikat Hak Milik,CENTRAL
3100000000.0,Gunung Sahari,3,2,220,SHM - Sertifikat Hak Milik,CENTRAL
6312389000.0,Kemayoran,4,3,208,SHM - Sertifikat Hak Milik,CENTRAL
6312390000.0,Menteng,4,3,208,SHM - Sertifikat Hak Milik,CENTRAL
1523890099.0,Sawah Besar,2,2,62,SHM - Sertifikat Hak Milik,CENTRAL
1521290000.0,Kemayoran,2,2,62,SHM - Sertifikat Hak Milik,CENTRAL
1521839000.0,Roxy,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
2912380000.0,Menteng,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
2500000000.0,Menteng,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL
4250000000.0,Johar Baru,3,3,197,SHM - Sertifikat Hak Milik,CENTRAL
431000000.0,Kemayoran,2,2,39,SHM - Sertifikat Hak Milik,CENTRAL
2400000000.0,Cempaka Putih,4,2,250,SHM - Sertifikat Hak Milik,CENTRAL
2800000000.0,Cempaka Putih,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL
2650000000.0,Gunung Sahari,5,4,161,SHM - Sertifikat Hak Milik,CENTRAL
