,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division,Price
16089,Permata Buana,4,3,260,SHM - Sertifikat Hak Milik,WEST,4800000000.0
503,Senen,2,2,53,SHM - Sertifikat Hak Milik,CENTRAL,770000000.0
7043,Matraman,2,1,85,SHM - Sertifikat Hak Milik,EAST,1900000000.0
5467,Cilandak,4,4,180,SHM - Sertifikat Hak Milik,SOUTH,2800000000.0
17790,Duren Sawit,5,4,250,SHM - Sertifikat Hak Milik,EAST,3200000000.0
21621,Kayu Putih,5,4,250,SHM - Sertifikat Hak Milik,EAST,3900000000.0
2867,Tomang,3,3,150,SHM - Sertifikat Hak Milik,WEST,2500000000.0
3742,Tanjung Duren,4,3,125,SHM - Sertifikat Hak Milik,WEST,2100000000.0
17592,Pondok Bambu,3,3,250,SHGB - Hak Guna Bangunan,EAST,2100000000.0
16935,Kebon Jeruk,3,3,100,SHM - Sertifikat Hak Milik,WEST,1500000000.0
4182,Bintaro,3,3,190,SHM - Sertifikat Hak Milik,SOUTH,2500000000.0
19979,Daan Mogot,4,4,130,SHGB - Hak Guna Bangunan,WEST,2550000000.0
20974,Pondok Kopi,2,2,100,SHM - Sertifikat Hak Milik,EAST,950000000.0
13452,Kayu Putih,5,3,160,SHM - Sertifikat Hak Milik,EAST,2190000000.0
14810,Pantai Indah Kapuk,3,3,112,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4000000000.0
11876,Meruya,4,3,150,SHM - Sertifikat Hak Milik,WEST,2400000000.0
6757,Cawang,2,1,55,SHM - Sertifikat Hak Milik,EAST,595000018.0
16561,Kebon Jeruk,5,4,310,SHM - Sertifikat Hak Milik,WEST,3750000000.0
8583,Pantai Indah Kapuk,4,4,160,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4500000000.0
21361,Kramat Jati,2,2,50,SHM - Sertifikat Hak Milik,EAST,465000000.0
4742,Kebagusan,5,4,210,SHM - Sertifikat Hak Milik,SOUTH,3000000000.0
7688,Matraman,2,2,58,SHM - Sertifikat Hak Milik,EAST,796620000.0
6071,Rawamangun,3,3,67,SHM - Sertifikat Hak Milik,EAST,1477000000.0
14380,Muara Karang,5,4,360,SHM - Sertifikat Hak Milik,NORTH,3800000000.0
18592,Kelapa Gading,4,4,200,SHM - Sertifikat Hak Milik,NORTH,5100000000.0
1768,Sawah Besar,2,1,168,SHM - Sertifikat Hak Milik,CENTRAL,3700000000.0
12918,Cibubur,2,1,30,SHGB - Hak Guna Bangunan,EAST,250000000.0
18760,Kelapa Gading,3,2,80,SHM - Sertifikat Hak Milik,NORTH,1890000000.0
14838,Pantai Indah Kapuk,3,2,160,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,4400000000.0
18743,Pantai Indah Kapuk,3,3,200,SHM - Sertifikat Hak Milik,NORTH,4350000000.0
11468,Tambora,4,3,324,SHM - Sertifikat Hak Milik,WEST,3500000000.0
18036,Cakung,4,2,90,SHM - Sertifikat Hak Milik,EAST,1650000000.0
13511,Cijantung,3,2,56,SHM - Sertifikat Hak Milik,EAST,755000000.0
6283,Jakarta Garden City/JGC,4,3,75,SHM - Sertifikat Hak Milik,EAST,1650000000.0
8808,Pantai Indah Kapuk,4,4,224,PPJB - Perjanjian Pengikatan Jual Beli,NORTH,6500000000.0
5927,Pondok Indah,5,4,177,SHM - Sertifikat Hak Milik,SOUTH,6000000000.0
6027,Matraman,2,2,58,SHM - Sertifikat Hak Milik,EAST,769620000.0
15417,Sawah Besar,3,2,257,SHM - Sertifikat Hak Milik,CENTRAL,5000000000.0
16919,Taman Ratu,3,2,120,SHM - Sertifikat Hak Milik,WEST,2700000000.0
17862,Cibubur,2,1,60,SHM - Sertifikat Hak Milik,EAST,550000000.0
4409,Ciganjur,4,4,145,SHM - Sertifikat Hak Milik,SOUTH,1800000000.0
